"City of Residence, current","Country of Residence, current",Gender,Latest education status,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
albay,Philippines,Male,College degree,"Coursera, Datacamp, Udemy, W3Schools",Not working,Student/ New grad/ Career Break,. ,not applicable,,_,not applicable, _,none,-, ,_,None,/,-,not applicable,NONE,/,. ,/,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Discord",Javascript,"Chatgpt, Gemini",Hex Workspaces,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Mentor, Regularly post content, Resource for specific topic, Volunteer for group initiatives",none,na,Na,27
"Quezon City, Philippines",Philippines,Male,College degree,Not currently using any digital tools for learning,Healthcare,Student/ New grad/ Career Break,not applicable,not applicable,, ,na,.,.,none, , _, _,none,/, _,not applicable,none,. ,-,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",Python,not applicable,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.",na,"Analytics Association of the Philippines, Big Data Analytics PH, Community: SPARTA PH, Power BI Philippines UG, Project SPARTA, SPARTA PH: Data Engineer","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Answer surveys,More F2F bonding,. ,Unemployed ,23
"Caloocan, Philippines",Philippines,Male,College degree,"Coursera, Datacamp, MicrosoftLearn",Retail,Career shifter,Work city different from residence,Las Vegas,"35,001 to 45,000",Full-time,Mostly work from home/ fully remote,UI/UX Designer,"UI/UX Designer, ",1 - Just me,,,"Don't know, None","Don't know, None",Power BI,Don't know,Don't know,Don't know,Google Cloud Platform (GCP),Don't know,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Trello, Google Meet, Slack","DAX (Power BI), SQL, VBA","Chatgpt, Gemini",Kaggle Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AWS AI/ML, Big Data Analytics PH, Data Analytics Philippines, DevOps Philippines",Decision to shift,"Answer surveys, Co-training/ Training, Volunteer to speak in events",more engaging post for interaction and healthy conversation,OnlineJobs.ph,Multinational employer,37
"Quezon City, Philippines",Philippines,LGBTQ+,College degree,"AWS Cloud Certification, Coursera, Freecodecamp, W3Schools",Agriculture,Career shifter,Work city same as residence,Bais & Bayawan City,"c.250,001 and above",Freelance,Mostly work from home/ fully remote,Management,"Data Analyst, Data Scientist, Business Analyst",1 - Just me,SSIS,Pandas,Azure Synapse,"Airflow, Dagster","Looker, Power BI",Power Query,"Don't know, None","Don't know, None",Microsoft Azure,Don't know,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet",Python,"Chatgpt, Claude",none,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,Decision to shift,"Answer surveys, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",Conduct Webinar Series with Certificates,"LinkedIn, Upwork, OnlineJobs.ph",Student ,22
"Quezon City, Philippines",Philippines,Female,Master's degree,"Coursera, Datacamp, Git Hub Learning Lab, LeetCode, LinkedIn Learning, W3Schools",consulting,Career shifter,Work city same as residence,BGC,"15,001 to 25,000",Full-time,Mostly work from home/ fully remote,SAP ABAP Developer,Software Engineer,6 to 10,"Don't know, None",Don't know,DynamoDB,,,,,,"Amazon Web Services (AWS), Microsoft Azure",not applicable,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Google Meet, Slack, Discord","Python, SQL","Chatgpt, Gemini, Perplexity, Github copilot, Datalab","Kaggle Notebooks, Colab Notebooks",desktop,"No, I just found out now.","Yes, I have used at least one resource.","AI Pilipinas, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines, Project SPARTA, SPARTA PH: Data Engineer","Career advancement, Continued learning, Network","Answer surveys, Connect with sponsors, Joint initiative with other groups, Co-training/ Training",not applicable,LinkedIn,Multinational employer,27
"Victoria, Melbourne",Australia,Male,College degree,Youtube bootcamp,Non profit,Student/ New grad/ Career Break, _,.,, _,na,na,/,na, _,/,.,-, ,NONE,NONE,none,NONE,None,"Excel, OneDrive, Zoom, MS Teams, Google Meet","Python, SQL","No, I do not use AI currently",Kaggle Notebooks,laptop,"No, I just found out now.",. ,"Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Data and Analytics Manila, Power BI Users Meetup, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events","Constant updates touch base comms,",None,.,28
"Quezon City, Philippines",Philippines,LGBTQ+,College degree,"Git Hub Learning Lab, MicrosoftLearn, W3Schools, Youtube bootcamp",Manufacturing,Professional,Work city same as residence,Quezon City,"65,001 to 75,000",Full-time,Hybrid,Software Engineer,"Software Engineer, Developer",4 to 5,,,,,/,,,,Google Cloud Platform (GCP),Don't know,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Monday.com, Zoom, MS Teams","Appscript (Google), DAX (Power BI), M language (Power Query), Python, R, SQL, VBA","Chatgpt, Copilot, Gemini, Perplexity","Kaggle Notebooks, Colab Notebooks, Azure Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Data and Analytics Manila, Data Science Philippines, Datasense Philippines, Eskwelabs Data Science Aral-Aral Group, Project SPARTA","Career advancement, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Mentor, Co-training/ Training",na,LinkedIn,Multinational employer,26
"Cavite, Philippines",Philippines,Male,College degree,Not currently using any digital tools for learning,Not working,Student/ New grad/ Career Break,.,na,,_,not applicable,.,none,none,.,_,none,.,/,not applicable,none, ,none,None,"Google Drive, Zoom, MS Teams, Google Meet, Discord","Python, SQL",Chatgpt,No,Phone,"No, I just found out now.","No, I just browsed through.","Big Data Analytics PH, Datasense Philippines, DEVCON Philippines, Digital Analytics Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Volunteer for group initiatives",/,_,None,33
"Pasay City, Philippines",Philippines,Prefer not to say,Secondary school student,Khan Academy,"IT, BPO, and Business Services",Professional,Work city same as residence,Lubao Pampanga,,Part-time,Not working,IT Support,Academic,2 to 3,,,,,,Power Query,Great Expectations,I currently have no knowledge in this,Sharepoint,,"Google sheets, Excel, Google Drive, MS Teams, Google Meet, Discord",.,Chatgpt,. ,laptop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, DevOps Philippines, Software DevOps & Data","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors",weekly events or giveaways,My network  - people I know,PUP Manila - Student,17
"Makati, Philippines",Philippines,Male,Other - specify,"Datacamp, Freecodecamp, Git Hub Learning Lab, W3Schools",Banking / Finance / Insurance,Career shifter, ,Davao City,"55,001 to 65,000",Full-time,Not working,My current role is managing the plant's recycling management facility while also pursuing a career as a data scientist/analyst.,My current role is managing the plant's recycling management facility while also pursuing a career as a data scientist/analyst.,11 to 30,,Pandas,Don't know,Don't know,Power BI,Don't know,,none,_,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet","DAX (Power BI), Python, SQL",Chatgpt,-,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Science Philippines, Datasense Philippines, SPARTA PH: Data Engineer","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Lead a study group, Mentor, Regularly post content, Volunteer for group initiatives","None so far, just to continue this kind of community. I'm very happy to be part of this group.",Not working,,21
"Manila, Philippines",Philippines,Male,Secondary school student,"Coursera, Datacamp, Freecodecamp",Banking / Finance / Insurance,Professional,.,Manila,,Full-time,Hybrid,Data Analyst,"Data Engineer, Data Analyst, Data Scientist",11 to 30,Don't know,-,None,not applicable,Power BI,,,,Microsoft Azure,na,"OneDrive, MS Teams",RPG/400,"No, I do not use AI currently",. ,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",.,"Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Volunteer for group initiatives", _,"LinkedIn, Indeed, OnlineJobs.ph, Jobstreet",Local employer,23
"Eastern Samar, Philippines ",Philippines,Male,College degree,Not currently using any digital tools for learning,"IT, BPO, and Business Services",Professional,Work city different from residence,Gingoog City,"25,001 to 35,000",Full-time,"Hybrid - first half at home, then usually go to the office for the latter half until I finish the rest of my shift.",Management,"Management, Academic",1 - Just me,na,Pandas,_,/, _,not applicable,not applicable,.,Amazon Web Services (AWS),-,Excel,C and C++,Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.",Data Science Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,Establish Communication Channel with schedule,My network  - people I know,/,32
"Manama, Bahrain",Bahrain,Male,College degree,"Datacamp, Udemy",Retail,Career shifter,Work city different from residence,Remote,"65,001 to 75,000",Full-time,Mostly work from home/ fully remote,Management,"Data Engineer, Data Analyst",1 - Just me,,,na, ,Looker Studio,,none, ,None,.,"Google sheets, Excel, Google Drive, Monday.com, Google Meet",SQL,,Colab Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Power BI Philippines UG",None,Answer surveys,na,"Upwork, OnlineJobs.ph, My network  - people I know",na,38
Pampanga,Philippines,Male,College degree,"Datacamp, LeetCode, W3Schools","IT, BPO, and Business Services",Student/ New grad/ Career Break,na,none,,None,none,None,/,_,-,-,/,None,. ,none,None,. , , ,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Discord",SQL,"Chatgpt, Gemini",NONE,laptop,"No, I just found out now.","No, I just browsed through.","AI Pilipinas, DevOps Philippines, She loves data","Career advancement, Decision to shift",None,.,not applicable,,21
"Quezon City, Philippines",Philippines,Prefer not to say,Master's degree,"Google Analytics, Pluralsight, Udemy, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Career shifter,Work city different from residence,Mandaluyong ,"55,001 to 65,000",Full-time,Hybrid,Data Analyst,Business Analyst,4 to 5,Don't know,Don't know,Snowflake,Don't know,Tableau,Don't know,Don't know,Currently building a data catalog,Databricks,"Don't know, None","Excel, OneDrive, Monday.com, MS Teams","DAX (Power BI), M language (Power Query), SQL, VBA","Chatgpt, Copilot",PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Data Analytics Philippines, Data and Analytics Manila, Data Ethics PH, Datasense Philippines, DEVCON Philippines, Digital Analytics Philippines, Power BI Users Meetup",/,"Answer surveys, Connect with sponsors, Joint initiative with other groups, Lead a study group, Co-training/ Training, Volunteer for group initiatives",Small group per location like barkadahan o fraternity heheh,LinkedIn,Multinational employer,46
"Cabuyao, Laguna, Philippines ",Philippines,Male,College degree,"edX, Kaggle Online course, Khan Academy, LinkedIn Learning, MicrosoftLearn, SoloLearn, W3Schools",Not working,Student/ New grad/ Career Break,na,_,,not applicable, ,not applicable,none,NONE,.,na,_,_,. ,None,_, ,na,/,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, SQL, C","Chatgpt, Gemini", _,laptop,"No, I just found out now.", ,Power BI Philippines UG,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Lead a study group, Mentor",-,/,not applicable,20
"Las Pinas, Philippines ",Philippines,Male,College degree,"Udemy, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Student/ New grad/ Career Break,. ,.,,None,none,. ,NONE,.,/,none,none,NONE,none,na,None,not applicable,None,not applicable,Discord,Python,"Chatgpt, Gemini",,desktop,"No, I just found out now.","Yes, I have used at least one resource.","Python Philippines, Programming Coding, C++ for student and beginner","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events",Encourage Feedback,None,Multinational employer,20
Baguio City,Philippines,Female,College degree,"Coursera, Udemy","IT, BPO, and Business Services",Student/ New grad/ Career Break,none,_,,na, ,na,not applicable,na,/,.,na,None,_,/,., ,_,-,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack, Discord","Python, SQL",Chatgpt,_,laptop,"No, I just found out now.", ,-,"Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,None,not applicable,Student,42
"Rizal, Philippines",Philippines,Male,College degree,"Datacamp, LinkedIn Learning, Pluralsight, W3Schools",Government Employee,Professional,Work city different from residence,Taguig City,"15,001 to 25,000",Full-time,Hybrid,Data Analyst,"Management, Business Analyst, Project management",30+,Only Excel if that counts ,,Don't know,Don't know,,_,NONE,none,None,,"Google sheets, Excel, Google Drive, Zoom, Google Meet","DAX (Power BI), SQL",,Databricks Collaborative Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Project SPARTA, Python Philippines","Career advancement, Decision to shift, Upskill / Skill acquisition, Network",Volunteer for group initiatives,more activity,Headhunter,Multinational employer,28
"Silang Cavite, Philippines",Philippines,Male,College degree,"Coursera, LinkedIn Learning, Udemy",Not working,Student/ New grad/ Career Break,None,/,,_,na,., ,/,_,None,None,NONE,NONE,/,-,/,none,none,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Appscript (Google), DAX (Power BI), Javascript, M language (Power Query), Python, R, SQL","Chatgpt, Claude, Copilot",NONE,laptop,"No, I just found out now.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Mentor, Regularly post content, Resource for specific topic, Co-training/ Training",,None,Still looking for one,22
